"codi_carrer";"des_sigla";"nom_carrer";"nom_complert";"nom_barri";"codi_postal";"nroi";"nrof";"nom_llistat"
"2065";"CARRER";"MARIA AUXILIADORA, DE";"CARRER DE MARIA AUXILIADORA";"ROC BLANC";"08224";"4";"46";"MARIAAUXILIADORA"
"2065";"CARRER";"MARIA AUXILIADORA, DE";"CARRER DE MARIA AUXILIADORA";"ROC BLANC";"08224";"41";"45";"MARIAAUXILIADORA"
"5948";"PONT";"MARIA AUXILIADORA, DE";"PONT DE MARIA AUXILIADORA";"LA MAURINA";"08224";"1";"1";"MARIAAUXILIADORA"
"2070";"CARRER";"MARIÀ BENLLIURE, DE";"CARRER DE MARIÀ BENLLIURE";"CAN BOADA DEL PI";"08225";"85";"89";"MARIABENLLIURE"
"2070";"CARRER";"MARIÀ BENLLIURE, DE";"CARRER DE MARIÀ BENLLIURE";"DISSEMINATS - D5";"08225";"93";"93";"MARIABENLLIURE"
"2070";"CARRER";"MARIÀ BENLLIURE, DE";"CARRER DE MARIÀ BENLLIURE";"POBLE NOU - ZONA ESPORTIVA";"08225";"1";"81";"MARIABENLLIURE"
"2070";"CARRER";"MARIÀ BENLLIURE, DE";"CARRER DE MARIÀ BENLLIURE";"POBLE NOU - ZONA ESPORTIVA";"08225";"2";"104";"MARIABENLLIURE"
"5872";"CARRER";"MARIA MITCHELL, DE";"CARRER DE MARIA MITCHELL";"DISSEMINATS - D3.1";"08227";"16";"46";"MARIAMITCHELL"
"5872";"CARRER";"MARIA MITCHELL, DE";"CARRER DE MARIA MITCHELL";"DISSEMINATS - D3.1";"08227";"17";"47";"MARIAMITCHELL"
"5714";"PASSATGE";"MARIA MONTESSORI, DE";"PASSATGE DE MARIA MONTESSORI";"VALLPARADÍS";"08222";"2";"2";"MARIAMONTESSORI"
"2075";"CARRER";"MARIÀ SOLÀ, DE";"CARRER DE MARIÀ SOLÀ";"LES FONTS";"08228";"1";"29";"MARIASOLA"
"2075";"CARRER";"MARIÀ SOLÀ, DE";"CARRER DE MARIÀ SOLÀ";"LES FONTS";"08228";"2";"14";"MARIASOLA"
"5599";"CARRER";"MARIA VERGER, DE";"CARRER DE MARIA VERGER";"LES FONTS";"08228";"1";"7";"MARIAVERGER"
"5599";"CARRER";"MARIA VERGER, DE";"CARRER DE MARIA VERGER";"LES FONTS";"08228";"20";"24";"MARIAVERGER"
"5606";"PASSATGE";"MARIE CURIE, DE";"PASSATGE DE MARIE CURIE";"P.I. SANTA MARGARIDA";"08223";"1";"17";"MARIECURIE"
"5606";"PASSATGE";"MARIE CURIE, DE";"PASSATGE DE MARIE CURIE";"P.I. SANTA MARGARIDA";"08223";"2";"10";"MARIECURIE"
"2080";"CARRER";"MARINEL.LO BOSCH, DE";"CARRER DE MARINEL.LO BOSCH";"CEMENTIRI VELL";"08222";"1";"119";"MARINELLOBOSCH"
"2080";"CARRER";"MARINEL.LO BOSCH, DE";"CARRER DE MARINEL.LO BOSCH";"CEMENTIRI VELL";"08222";"2";"94";"MARINELLOBOSCH"
"2085";"CARRER";"MARQUÈS DE COMILLAS, DEL";"CARRER DEL MARQUÈS DE COMILLAS";"POBLE NOU - ZONA ESPORTIVA";"08225";"113";"185";"MARQUESDECOMILLAS"
"2085";"CARRER";"MARQUÈS DE COMILLAS, DEL";"CARRER DEL MARQUÈS DE COMILLAS";"POBLE NOU - ZONA ESPORTIVA";"08225";"126";"170";"MARQUESDECOMILLAS"
"2085";"CARRER";"MARQUÈS DE COMILLAS, DEL";"CARRER DEL MARQUÈS DE COMILLAS";"TORRENT D'EN PERE PARRES";"08225";"1";"113";"MARQUESDECOMILLAS"
"2085";"CARRER";"MARQUÈS DE COMILLAS, DEL";"CARRER DEL MARQUÈS DE COMILLAS";"TORRENT D'EN PERE PARRES";"08225";"2";"124";"MARQUESDECOMILLAS"
"2086";"CARRER";"MARROC, DEL";"CARRER DEL MARROC";"CAN PARELLADA";"08228";"17";"23";"MARROC"
"2086";"CARRER";"MARROC, DEL";"CARRER DEL MARROC";"CAN PARELLADA";"08228";"26";"26";"MARROC"
"2090";"CARRER";"MART, DE";"CARRER DE MART";"CA N'AURELL";"08224";"1";"27";"MART"
"2090";"CARRER";"MART, DE";"CARRER DE MART";"CA N'AURELL";"08224";"6";"40";"MART"
"5806";"PLAÇA";"MARTA MATA, DE";"PLAÇA DE MARTA MATA";"CENTRE";"08221";"1";"13";"MARTAMATA"
"5806";"PLAÇA";"MARTA MATA, DE";"PLAÇA DE MARTA MATA";"CENTRE";"08221";"2";"12";"MARTAMATA"
"5968";"PLACETA";"MARTA MOS, DE";"PLACETA DE MARTA MOS";"SEGLE XX";"08223";"1";"3";"MARTAMOS"
"5968";"PLACETA";"MARTA MOS, DE";"PLACETA DE MARTA MOS";"SEGLE XX";"08223";"2";"4";"MARTAMOS"
"5617";"CARRER";"MARTÍ ALEGRE, DE";"CARRER DE MARTÍ ALEGRE";"CENTRE";"08221";"1";"15";"MARTIALEGRE"
"5617";"CARRER";"MARTÍ ALEGRE, DE";"CARRER DE MARTÍ ALEGRE";"CENTRE";"08221";"16";"16";"MARTIALEGRE"
"2095";"CARRER";"MARTÍ DÍEZ, DE";"CARRER DE MARTÍ DÍEZ";"CA N'AURELL";"08224";"1";"115";"MARTIDIEZ"
"2095";"CARRER";"MARTÍ DÍEZ, DE";"CARRER DE MARTÍ DÍEZ";"CA N'AURELL";"08224";"2";"126";"MARTIDIEZ"
"5634";"CAMÍ";"MARTINES, DE LES";"CAMÍ DE LES MARTINES";"LES MARTINES";"08224";"24";"170";"MARTINES"
"2105";"CARRETERA";"MARTORELL, DE";"CARRETERA DE MARTORELL";"CA N'AURELL";"08224";"8";"166";"MARTORELL"
"2105";"CARRETERA";"MARTORELL, DE";"CARRETERA DE MARTORELL";"DISSEMINATS - D4";"08224";"410";"430";"MARTORELL"
"2105";"CARRETERA";"MARTORELL, DE";"CARRETERA DE MARTORELL";"LA COGULLADA";"08224";"25";"289";"MARTORELL"
"2105";"CARRETERA";"MARTORELL, DE";"CARRETERA DE MARTORELL";"LA COGULLADA";"08224";"316";"334";"MARTORELL"
"2105";"CARRETERA";"MARTORELL, DE";"CARRETERA DE MARTORELL";"LES MARTINES";"08224";"371";"451";"MARTORELL"
"2105";"CARRETERA";"MARTORELL, DE";"CARRETERA DE MARTORELL";"ROC BLANC";"08224";"222";"308";"MARTORELL"
"2105";"CARRETERA";"MARTORELL, DE";"CARRETERA DE MARTORELL";"VISTA ALEGRE";"08224";"315";"319";"MARTORELL"
"2105";"CARRETERA";"MARTORELL, DE";"CARRETERA DE MARTORELL";"VISTA ALEGRE";"08224";"356";"398";"MARTORELL"
"2110";"CARRER";"MAS ADEI, DEL";"CARRER DEL MAS ADEI";"CENTRE";"08221";"1";"101";"MASADEI"
"2110";"CARRER";"MAS ADEI, DEL";"CARRER DEL MAS ADEI";"CENTRE";"08221";"2";"116";"MASADEI"
"5631";"CARRER";"MAS ARÚS, DEL";"CARRER DEL MAS ARÚS";"LES MARTINES";"08224";"1";"7";"MASARUS"
"5631";"CARRER";"MAS ARÚS, DEL";"CARRER DEL MAS ARÚS";"LES MARTINES";"08224";"2";"8";"MASARUS"
"5657";"CARRER";"MAS BRANCA, DEL";"CARRER DEL MAS BRANCA";"LES MARTINES";"08224";"1";"91";"MASBRANCA"
"5657";"CARRER";"MAS BRANCA, DEL";"CARRER DEL MAS BRANCA";"LES MARTINES";"08224";"8";"70";"MASBRANCA"
"5972";"CARRER";"MAS BRUGUEROLS, DEL";"CARRER DEL MAS BRUGUEROLS";"SEGLE XX";"08223";"10";"14";"MASBRUGUEROLS"
"5646";"CARRER";"MAS DE BORRELLES, DEL";"CARRER DEL MAS DE BORRELLES";"LES MARTINES";"08224";"1";"15";"MASDEBORRELLES"
"5646";"CARRER";"MAS DE BORRELLES, DEL";"CARRER DEL MAS DE BORRELLES";"LES MARTINES";"08224";"6";"6";"MASDEBORRELLES"
"5647";"CARRER";"MAS DE CANET, DEL";"CARRER DEL MAS DE CANET";"LES MARTINES";"08224";"1";"41";"MASDECANET"
"5647";"CARRER";"MAS DE CANET, DEL";"CARRER DEL MAS DE CANET";"LES MARTINES";"08224";"4";"38";"MASDECANET"
"5642";"CARRER";"MAS DE LA MORADA, DEL";"CARRER DEL MAS DE LA MORADA";"LES MARTINES";"08224";"1";"39";"MASDELAMORADA"
"5642";"CARRER";"MAS DE LA MORADA, DEL";"CARRER DEL MAS DE LA MORADA";"LES MARTINES";"08224";"2";"20";"MASDELAMORADA"
"5649";"CARRER";"MAS DE LES ALZINES, DEL";"CARRER DEL MAS DE LES ALZINES";"LES MARTINES";"08224";"1";"9";"MASDELESALZINES"
"5649";"CARRER";"MAS DE LES ALZINES, DEL";"CARRER DEL MAS DE LES ALZINES";"LES MARTINES";"08224";"2";"10";"MASDELESALZINES"
"5836";"CARRER";"MAS DE L'OM, DEL";"CARRER DEL MAS DE L'OM";"DISSEMINATS - D3.1";"08227";"1";"185";"MASDELOM"
"5836";"CARRER";"MAS DE L'OM, DEL";"CARRER DEL MAS DE L'OM";"P.I. ELS BELLOTS";"08227";"189";"189";"MASDELOM"
"5637";"CARRER";"MAS DE MIRESSES, DEL";"CARRER DEL MAS DE MIRESSES";"LES MARTINES";"08224";"3";"27";"MASDEMIRESSES"
"5637";"CARRER";"MAS DE MIRESSES, DEL";"CARRER DEL MAS DE MIRESSES";"LES MARTINES";"08224";"4";"38";"MASDEMIRESSES"
"5914";"PLAÇA";"MAS DE MOSTEROL, DEL";"PLAÇA DEL MAS DE MOSTEROL";"P.I. CAN PETIT";"08227";"1";"1";"MASDEMOSTEROL"
"2115";"CARRER";"MASIA, DE LA";"CARRER DE LA MASIA";"CAN BOADA DEL PI";"08225";"1";"23";"MASIA"
"2115";"CARRER";"MASIA, DE LA";"CARRER DE LA MASIA";"CAN BOADA DEL PI";"08225";"2";"26";"MASIA"
"5913";"PLAÇA";"MAS ISARN, DEL";"PLAÇA DEL MAS ISARN";"P.I. CAN PETIT";"08227";"1";"1";"MASISARN"
"2120";"CARRER";"MASNOU, DEL";"CARRER DEL MASNOU";"LES ARENES - LA GRÍPIA - CAN MONTLLOR";"08227";"1";"39";"MASNOU"
"2120";"CARRER";"MASNOU, DEL";"CARRER DEL MASNOU";"LES ARENES - LA GRÍPIA - CAN MONTLLOR";"08227";"4";"36";"MASNOU"
"5933";"CAMÍ";"MAS RUBIAL, DE";"CAMÍ DE MAS RUBIAL";"DISSEMINATS - D5";"08225";"1";"5";"MASRUBIAL"
"5933";"CAMÍ";"MAS RUBIAL, DE";"CAMÍ DE MAS RUBIAL";"DISSEMINATS - D5";"08225";"2";"6";"MASRUBIAL"
"5835";"CARRER";"MAS TRULLARS, DE";"CARRER DE MAS TRULLARS";"DISSEMINATS - D3.1";"08227";"1";"171";"MASTRULLARS"
"5835";"CARRER";"MAS TRULLARS, DE";"CARRER DE MAS TRULLARS";"DISSEMINATS - D3.1";"08227";"2";"108";"MASTRULLARS"
"5835";"CARRER";"MAS TRULLARS, DE";"CARRER DE MAS TRULLARS";"P.I. ELS BELLOTS";"08227";"177";"185";"MASTRULLARS"
"2125";"CARRETERA";"MATADEPERA, DE";"CARRETERA DE MATADEPERA";"CAN TUSELL";"08226";"224";"272";"MATADEPERA"
"2125";"CARRETERA";"MATADEPERA, DE";"CARRETERA DE MATADEPERA";"DISSEMINATS - D5";"08225";"371";"385";"MATADEPERA"
"2125";"CARRETERA";"MATADEPERA, DE";"CARRETERA DE MATADEPERA";"DISSEMINATS - D5";"08226";"330";"400";"MATADEPERA"
"2125";"CARRETERA";"MATADEPERA, DE";"CARRETERA DE MATADEPERA";"DISSEMINATS - D6";"08227";"485";"491";"MATADEPERA"
"2125";"CARRETERA";"MATADEPERA, DE";"CARRETERA DE MATADEPERA";"DISSEMINATS - D6";"08227";"490";"490";"MATADEPERA"
"2125";"CARRETERA";"MATADEPERA, DE";"CARRETERA DE MATADEPERA";"PLA DEL BON AIRE";"08225";"321";"331";"MATADEPERA"
"2125";"CARRETERA";"MATADEPERA, DE";"CARRETERA DE MATADEPERA";"PLA DEL BON AIRE - EL GARROT";"08225";"439";"445";"MATADEPERA"
"2125";"CARRETERA";"MATADEPERA, DE";"CARRETERA DE MATADEPERA";"PLA DEL BON AIRE - EL GARROT";"08226";"410";"474";"MATADEPERA"
"2125";"CARRETERA";"MATADEPERA, DE";"CARRETERA DE MATADEPERA";"PLA DEL BON AIRE - EL GARROT";"08226";"461";"475";"MATADEPERA"
"2125";"CARRETERA";"MATADEPERA, DE";"CARRETERA DE MATADEPERA";"POBLE NOU - ZONA ESPORTIVA";"08225";"203";"315";"MATADEPERA"
"2125";"CARRETERA";"MATADEPERA, DE";"CARRETERA DE MATADEPERA";"SANT PERE";"08225";"1";"181";"MATADEPERA"
"2125";"CARRETERA";"MATADEPERA, DE";"CARRETERA DE MATADEPERA";"SANT PERE";"08226";"2";"190";"MATADEPERA"
"2125";"CARRETERA";"MATADEPERA, DE";"CARRETERA DE MATADEPERA";"SANT PERE NORD";"08226";"204";"222";"MATADEPERA"
"5102";"PASSATGE";"MATADEPERA, DE";"PASSATGE DE MATADEPERA";"PLA DEL BON AIRE - EL GARROT";"08226";"11";"17";"MATADEPERA"
"5102";"PASSATGE";"MATADEPERA, DE";"PASSATGE DE MATADEPERA";"PLA DEL BON AIRE - EL GARROT";"08226";"12";"20";"MATADEPERA"
"2126";"PASSEIG";"MATADEPERA, DE";"PASSEIG DE MATADEPERA";"DISSEMINATS - D6";"08227";"35";"35";"MATADEPERA"
"2126";"PASSEIG";"MATADEPERA, DE";"PASSEIG DE MATADEPERA";"FONT DE L'ESPARDENYERA";"08227";"35";"75";"MATADEPERA"
"2126";"PASSEIG";"MATADEPERA, DE";"PASSEIG DE MATADEPERA";"FONT DE L'ESPARDENYERA";"08227";"40";"106";"MATADEPERA"
"2130";"CARRER";"MATAGALLS, DEL";"CARRER DEL MATAGALLS";"LES ARENES - LA GRÍPIA - CAN MONTLLOR";"08227";"1";"1";"MATAGALLS"
"2130";"CARRER";"MATAGALLS, DEL";"CARRER DEL MATAGALLS";"LES ARENES - LA GRÍPIA - CAN MONTLLOR";"08227";"2";"6";"MATAGALLS"
"2135";"CARRER";"MATARÓ, DE";"CARRER DE MATARÓ";"PLA DEL BON AIRE";"08225";"1";"1";"MATARO"
"5819";"CARRER";"MATERNITAT D'ELNA, DE LA";"CARRER DE LA MATERNITAT D'ELNA";"FONT DE L'ESPARDENYERA";"08227";"3";"7";"MATERNITATDELNA"
"2134";"CARRER";"MATIES ROCA, DE";"CARRER DE MATIES ROCA";"ROC BLANC";"08224";"5";"57";"MATIESROCA"
"2134";"CARRER";"MATIES ROCA, DE";"CARRER DE MATIES ROCA";"ROC BLANC";"08224";"8";"48";"MATIESROCA"
"2136";"PLAÇA";"MAURINA, DE LA";"PLAÇA DE LA MAURINA";"LA MAURINA";"08224";"1";"1";"MAURINA"
"2136";"PLAÇA";"MAURINA, DE LA";"PLAÇA DE LA MAURINA";"LA MAURINA";"08224";"2";"2";"MAURINA"
"2420";"CARRER";"M. D.  DE LA FUENCISLA, DE LA";"CARRER DE LA M. D.  DE LA FUENCISLA";"CA N'ANGLADA";"08222";"1";"51";"MDDELAFUENCISLA"
"2420";"CARRER";"M. D.  DE LA FUENCISLA, DE LA";"CARRER DE LA M. D.  DE LA FUENCISLA";"CA N'ANGLADA";"08222";"2";"122";"MDDELAFUENCISLA"
"3940";"CARRER";"M.D. DE LAS ANGUSTIAS, DE LA";"CARRER DE LA M.D. DE LAS ANGUSTIAS";"CA N'ANGLADA";"08222";"41";"147";"MDDELASANGUSTIAS"
"3940";"CARRER";"M.D. DE LAS ANGUSTIAS, DE LA";"CARRER DE LA M.D. DE LAS ANGUSTIAS";"CA N'ANGLADA";"08222";"66";"164";"MDDELASANGUSTIAS"
"3950";"CARRER";"M.D. DELS DESEMPARATS, DE LA";"CARRER DE LA M.D. DELS DESEMPARATS";"CA N'ANGLADA";"08222";"9";"39";"MDDELSDESEMPARATS"
"3950";"CARRER";"M.D. DELS DESEMPARATS, DE LA";"CARRER DE LA M.D. DELS DESEMPARATS";"CA N'ANGLADA";"08222";"26";"26";"MDDELSDESEMPARATS"
"5690";"PLAÇA";"MEDITERRÀNIA, DE LA";"PLAÇA DE LA MEDITERRÀNIA";"XÚQUER";"08223";"1";"5";"MEDITERRANIA"
"5690";"PLAÇA";"MEDITERRÀNIA, DE LA";"PLAÇA DE LA MEDITERRÀNIA";"XÚQUER";"08223";"2";"4";"MEDITERRANIA"
"2155";"CARRER";"MENÉNDEZ Y PELAYO, DE";"CARRER DE MENÉNDEZ Y PELAYO";"CAN PALET";"08223";"47";"249";"MENENDEZYPELAYO"
"2155";"CARRER";"MENÉNDEZ Y PELAYO, DE";"CARRER DE MENÉNDEZ Y PELAYO";"CAN PALET";"08223";"66";"232";"MENENDEZYPELAYO"
"2155";"CARRER";"MENÉNDEZ Y PELAYO, DE";"CARRER DE MENÉNDEZ Y PELAYO";"CEMENTIRI VELL";"08222";"1";"45";"MENENDEZYPELAYO"
"2155";"CARRER";"MENÉNDEZ Y PELAYO, DE";"CARRER DE MENÉNDEZ Y PELAYO";"CEMENTIRI VELL";"08222";"2";"62";"MENENDEZYPELAYO"
"2160";"CARRER";"MENORCA, DE";"CARRER DE MENORCA";"ÈGARA";"08226";"1";"57";"MENORCA"
"2160";"CARRER";"MENORCA, DE";"CARRER DE MENORCA";"ÈGARA";"08226";"2";"52";"MENORCA"
"2166";"CARRER";"MENTA, DE LA";"CARRER DE LA MENTA";"CAN GONTERES";"08225";"1";"5";"MENTA"
"2166";"CARRER";"MENTA, DE LA";"CARRER DE LA MENTA";"CAN GONTERES";"08225";"4";"8";"MENTA"
"2161";"CARRER";"MERCURI, DE";"CARRER DE MERCURI";"P.I. CAN PARELLADA";"08228";"1";"21";"MERCURI"
"2161";"CARRER";"MERCURI, DE";"CARRER DE MERCURI";"P.I. CAN PARELLADA";"08228";"18";"18";"MERCURI"
"5525";"CARRER";"MERLA, DE LA";"CARRER DE LA MERLA";"CAN PALET DE VISTA ALEGRE";"08224";"2";"10";"MERLA"
"5525";"CARRER";"MERLA, DE LA";"CARRER DE LA MERLA";"CAN PALET DE VISTA ALEGRE";"08224";"3";"7";"MERLA"
"2162";"CARRER";"MESTRAL, DEL";"CARRER DEL MESTRAL";"CAN TUSELL";"08226";"1";"9";"MESTRAL"
"2162";"CARRER";"MESTRAL, DEL";"CARRER DEL MESTRAL";"CAN TUSELL";"08226";"2";"10";"MESTRAL"
"1970";"PLAÇA";"MESTRE SERRAT, DEL";"PLAÇA DEL MESTRE SERRAT";"SANT PERE";"08225";"3";"15";"MESTRESERRAT"
"1970";"PLAÇA";"MESTRE SERRAT, DEL";"PLAÇA DEL MESTRE SERRAT";"SANT PERE";"08225";"4";"14";"MESTRESERRAT"
"1975";"CARRER";"MESTRE TRIAS, DEL";"CARRER DEL MESTRE TRIAS";"SEGLE XX";"08223";"1";"189";"MESTRETRIAS"
"1975";"CARRER";"MESTRE TRIAS, DEL";"CARRER DEL MESTRE TRIAS";"SEGLE XX";"08223";"22";"174";"MESTRETRIAS"
"5585";"PASSATGE";"MIG, DEL";"PASSATGE DEL MIG";"LA MAURINA";"08224";"1";"13";"MIG"
"5585";"PASSATGE";"MIG, DEL";"PASSATGE DEL MIG";"LA MAURINA";"08224";"6";"32";"MIG"
"2163";"CARRER";"MIGJORN, DEL";"CARRER DEL MIGJORN";"P.I. PUIGBARRAL";"08226";"1";"43";"MIGJORN"
"2163";"CARRER";"MIGJORN, DEL";"CARRER DEL MIGJORN";"P.I. PUIGBARRAL";"08226";"14";"44";"MIGJORN"
"2164";"PLAÇA";"MIGUEL HERNÁNDEZ, DE";"PLAÇA DE MIGUEL HERNÁNDEZ";"CA N'ANGLADA";"08222";"1";"1";"MIGUELHERNANDEZ"
"2180";"CARRER";"MILLARS, DEL";"CARRER DEL MILLARS";"LES ARENES - LA GRÍPIA - CAN MONTLLOR";"08227";"1";"27";"MILLARS"
"2180";"CARRER";"MILLARS, DEL";"CARRER DEL MILLARS";"LES ARENES - LA GRÍPIA - CAN MONTLLOR";"08227";"2";"32";"MILLARS"
"1251";"PLAÇA";"MIL.LENARI, DEL";"PLAÇA DEL MIL.LENARI";"SANT LLORENÇ";"08227";"28";"36";"MILLENARI"
"1251";"PLAÇA";"MIL.LENARI, DEL";"PLAÇA DEL MIL.LENARI";"SANT LLORENÇ";"08227";"37";"37";"MILLENARI"
"2181";"CARRER";"MIMOSA, DE LA";"CARRER DE LA MIMOSA";"CAN GONTERES";"08225";"6";"12";"MIMOSA"
"2181";"CARRER";"MIMOSA, DE LA";"CARRER DE LA MIMOSA";"CAN GONTERES";"08225";"7";"9";"MIMOSA"
"2195";"CARRER";"MINA, DE LA";"CARRER DE LA MINA";"CENTRE";"08221";"1";"49";"MINA"
"2195";"CARRER";"MINA, DE LA";"CARRER DE LA MINA";"CENTRE";"08221";"2";"60";"MINA"
