"codi_carrer";"des_sigla";"nom_carrer";"nom_complert";"nom_barri";"codi_postal";"nroi";"nrof";"nom_llistat"
"2200";"CARRER";"MIÑO, DEL";"CARRER DEL MIÑO";"P.I. SANTA EULÀLIA";"08223";"1";"45";"MINZZO"
"2200";"CARRER";"MIÑO, DEL";"CARRER DEL MIÑO";"P.I. SANTA EULÀLIA";"08223";"2";"20";"MINZZO"
"2200";"CARRER";"MIÑO, DEL";"CARRER DEL MIÑO";"P.I. SANTA MARGARIDA";"08223";"83";"117";"MINZZO"
"2200";"CARRER";"MIÑO, DEL";"CARRER DEL MIÑO";"P.I. SANTA MARGARIDA";"08223";"96";"124";"MINZZO"
"2165";"CARRER";"MIQUEL ÀNGEL, DE";"CARRER DE MIQUEL ÀNGEL";"TORRENT D'EN PERE PARRES";"08225";"2";"100";"MIQUELANGEL"
"2165";"CARRER";"MIQUEL ÀNGEL, DE";"CARRER DE MIQUEL ÀNGEL";"TORRENT D'EN PERE PARRES";"08225";"25";"83";"MIQUELANGEL"
"5746";"CARRER";"MIQUEL CASAS, DE";"CARRER DE MIQUEL CASAS";"CENTRE";"08221";"1";"9";"MIQUELCASAS"
"5746";"CARRER";"MIQUEL CASAS, DE";"CARRER DE MIQUEL CASAS";"CENTRE";"08221";"4";"44";"MIQUELCASAS"
"5800";"CARRER";"MIQUEL I PERE COSTA, DE";"CARRER DE MIQUEL I PERE COSTA";"PLA DEL BON AIRE - EL GARROT";"08225";"1";"9";"MIQUELIPERECOSTA"
"5800";"CARRER";"MIQUEL I PERE COSTA, DE";"CARRER DE MIQUEL I PERE COSTA";"PLA DEL BON AIRE - EL GARROT";"08225";"2";"8";"MIQUELIPERECOSTA"
